Gene	Parental_1	Parental_2	Parental_3	BM3_1	BM3_2	BM3_3	BX3_1	BX3_2	BX3_3
Ahnak	46400.6	46965	52511	72057.8	70287.1	64408.6	73761.3	67112.3	93837
Plec	81	94.4	90.2	66.3	93.3	85.4	66.3	55.1	72.4
Dync1h1	14055.2	15294.6	15050.6	18651.7	19411.8	18727.8	18732.9	18606.2	18075.8
Flna	14920.6	15115.6	16164.8	12965.1	14737.7	13471.4	13510.4	12871.3	15982.5
Myof	188.8	163.3	194.4	205.5	232	212	195.8	193.8	240.2
Sptan1	274.2	257.7	279.6	249.4	258.3	240	287.4	219.4	237.2
Sptan1	306.4	254.5	300.3	257.4	311.7	289.6	272.6	300.7	560
Myh9	18635.9	17115.6	20247.4	8136.7	7344.4	8942.3	7675.9	7267.3	8933.3
Flnb	10832.6	10498.1	10650.2	7346.6	8227.1	7438.7	8217.9	8038.5	8798.4
Hspd1	12774.3	13213.5	13184.6	16335.7	15933	15409.1	16834.3	17392.9	17770.8
Sptbn1	4131.5	4030	3943.3	3568.8	4219	4144.7	3977.9	3634.1	4232.3
mKIAA0034	5762.6	6287.1	5974.6	5279.3	7448	7233.9	5934.7	5995.9	6899.2
Iqgap1	119.9	104.9	105.2	92.7	92	96.3	88.3	76.9	69.6
Iqgap1	47.3	46	61.1	50.4	49.8	48.5	45.6	62.1	78.6
Atp5f1b	8442	8625.6	8443.4	9565.7	8939	8903.9	9317.6	9924.4	9599.2
Tln1	5200.3	5166.2	6034.6	5291.4	5024.4	5223.9	4913.6	5140.8	5784.2
Lrpprc	8746.3	8958.6	8425.1	9027.2	8430.7	8754.3	9215.9	9694.8	8898.4
Atp2a2	9294.7	8970.7	7650.8	8234.8	8154.3	8454.2	8853.2	9373.3	8444.2
Fn1	5760.3	5754.8	4991.2	5502.8	5329.3	5511	4304.5	4431.3	4711.3
Hspa9	9387	8810.8	9227.9	8594	8136.2	7833.8	8179.6	8924.5	9987.9
Krt8	9390.7	10163.4	9253	9349.8	9852.5	9319.5	8226.5	7799.2	8192.2
Eef2	6881.7	7060.9	7525.3	7222.6	7658.1	7678.8	7505.4	8039.9	9681
Krt18	7518	9042.2	8212.6	7464.3	8261.3	8824.5	7641.7	7202.2	8035.3
Hspa8	490.4	556.1	527.8	486.9	562.6	593	572.3	595.8	747.9
Mki67	8089	8378.6	7340.9	5814.4	5819.8	7147.2	6957.9	7477.7	6124
Ctnna1	6394.7	5868	5708.5	5127.7	5123.3	5117.9	5267.2	5233.2	5346.1
Eppk1	6026.3	6097	6315	4550	5100.5	4948.3	4194.9	3765.7	4399.4
Myh10	5523.6	5562.6	5922.4	4599.2	4104.8	4890.8	4753	4342.6	4678.5
Prpf8	7762.1	7900.7	7472.6	7465.6	7717.8	7775.8	7299.1	7373.8	6141.5
Mybbp1a	8430	7011.8	6634.8	6458.7	6825.8	6793.5	7027.6	7442.1	6172.7
Hspa8	100	115	117.3	105.1	100.4	113.1	105.8	115.3	123.4
Fasn	4969.6	5088.8	5536	5514.6	5871.7	5810	5244.5	5356.3	5716.8
Igf2r	6297.8	5908	6182.9	8067.2	7337.1	7219.8	6713.1	6981.7	6801.6
Hspa5	9918.3	9716.9	9233.9	11282.8	10950.7	10123.7	10974.6	10766.3	11965.8
Snrnp200	5921.7	5950.5	5937.7	5695.1	5723	5736.7	5480.8	5478.9	4522.7
Top2a	6452.3	6362	5125.1	5519.2	5921.3	6220.1	6426.3	6289.5	5141.8
Atp1a1	4863.8	5014.3	4550.5	4128.5	4143.5	4360.4	4640.3	5142.8	5085.2
Vim	61.2	74.6	77	61.7	106.6	98.8	120.9	51.2	78.9
Gcn1	4871.3	4883.3	4963.7	4892.4	5414.9	5390.6	4847.7	4799.7	4929.9
Lmna	12641.8	12433.4	12466.9	14189.2	13075	12948.9	14220.9	15000.8	16158.9
Vim	119.1	104.5	103.8	69.3	152	130.9	102.4	60.3	92.5
Actb	1115.6	1016.5	1005.7	769.6	923.8	891	832.9	898.5	1393.4
Cad	3794	3643.7	4311.6	3685.6	3569.2	3981.4	3512.1	3344.5	4261
Atp5f1a	8823.4	8215.4	8353.9	8325.5	7615.3	7460.8	7771.7	8107.6	8261.4
Actn1	3464.6	3583.4	3740.6	3487	3768.8	3312.7	3190.3	3205.1	3548.9
Mdn1	4579.6	4698.7	4685.1	4291.1	4210.8	4544.8	4623.8	4349.9	3563.8
Numa1	2747.5	2781.8	3436.3	3781.7	3783	3517.6	2877.7	2769.8	2509.7
Hspg2	447.6	402.3	388.7	366.2	332.1	356.7	320.7	331.7	289.6
Uggt1	3969.6	3796.1	3775.6	4973.5	4968.2	4703.9	4770.6	4750.5	4821.2
Ktn1	471	434.4	513.8	319.6	344.9	321.5	279.9	293.9	300.3
Tuba1a	138.7	86.4	106.7	117.4	153.7	153.7	127.8	100.7	124.7
Ktn1	744.3	805.9	773.4	687.2	730.4	695.1	683.5	632	651.8
Ktn1	196.7	223.6	200.4	198	199.7	194.1	205.5	169.2	165.9
Hsp90b1	6984.1	6739.9	6770.1	7691.8	7874.7	7348.2	7862.2	8101.8	8847.7
Tuba1c	105.8	117.9	122.2	153.2	159.9	164.6	160.4	156.8	173.6
Nomo1	4385.3	4197.4	4096.6	3885.6	3763.3	3889.7	3903	4003.8	3854.2
Pkm	4927.6	4693.4	5231.8	6016.1	6201.6	5689.3	5628.3	6323.9	7520.8
Tpr	6084.8	5679.8	6403.8	6192.6	5774.6	5694.6	5388.5	5719.4	4805.9
Lama5	3367.9	3200.7	3130.5	3645.2	3372.4	3441.8	3298.6	3388	3017
Mthfd1l	4889.7	4728.7	4691.7	5570.8	5428.8	5297.6	5263.3	5487.2	5601.1
Actn4	2445.6	2660.4	2539.5	2724.6	3045.2	2906.5	2636.1	2715.6	2794.8
Ddx21	469.2	425.7	419.6	300	308.5	340.3	340.1	443	458.6
Krt7	5966.3	6934	6402.3	4826.6	5330.9	5299.1	4460.4	4496.2	4878.9
Ranbp2	5199.6	5307.1	5480.9	5417.7	5789.9	5327.1	5213.4	5141	4515.5
Chd4	4291.1	4154	3813	3766.1	3803.9	3953.1	3924.3	3968.4	3333
Hspg2	201.9	182.8	147.1	172.3	164.6	175.9	151.3	175.3	149.8
Flnc	4319.2	4560	4844	3929.5	4057	3914.8	3573.8	3646.9	3468.5
Dhx9	3755.9	3764.2	3659.5	4329.5	4891.8	4718.9	4582.9	4524.1	3802.7
Eef1a1	1242.8	1377.2	1501.5	1545.9	1670.1	1650.7	1638.8	1669.9	2048
Map1b	4226.6	4511.2	4967	4391.3	4361.7	4421.5	4571.1	4213.9	4280.2
Lrp1	5407.4	5150.2	5406.2	5396.2	4769.2	4733	3896.4	4119.4	4026.8
Anxa2	11840.8	11568.6	11850.2	12552.2	12259.6	12549.5	14601.5	16013.9	19957.4
Tubb5	970.1	991.8	1150	1307.2	1440.8	1389.8	1217.1	1285	1776.8
Tuba4a	911.2	884.9	1089.1	1188.1	1248.2	1221.7	1053.8	1112.9	1529.1
Tubb4b	151.8	150.7	177.9	228	246.5	232.5	182.2	212	256.6
Lamb1	4453.2	4278.6	4373.2	4893.4	4711.5	4626.1	4936.9	4798.1	4721.8
Vars	3865.6	4876.9	4451.2	4002.5	5032.3	4955.1	4616.7	3849.6	4449.5
Ganab	149.3	146.2	153.9	168.3	163	141.2	167.5	165.7	174
Ganab	68.4	69.2	65.1	95.4	100	115.3	112.8	111.1	108.5
Immt	181.7	178.4	168.4	165.5	149.4	171.1	149	182.1	201.5
Ckap5	4492.8	4669.9	4455.7	4449.6	4703	4971.1	5071.3	4811.7	4791.4
Hsp90aa1	3598.6	3969.5	3883.2	3601.5	3879.4	3965.1	4123.3	4267.7	4822.8
Aldh2	4963.6	4893.2	4760.6	6187.7	5763.5	5596.9	4336.4	4976.8	5403.6
Lonp1	4168.5	4108.3	3738.6	4311.6	3632.4	3826.3	4304.8	4458.3	3925.1
Ddx21	32.4	27.6	25.1	22.1	21.9	18.6	23.2	28.1	25
Gapdh	311.3	306.5	401	413.2	365.8	358.6	357.5	409	603.7
Eef1a1	1755.3	1951.1	2058.2	2467.7	2666.4	2558	2452.7	2452.4	2699.2
Heatr1	4565.8	4954.3	4426.7	5277.8	5820.1	5781.9	5758.4	5836.7	5059.1
Hyou1	3817.9	3667.4	3688.2	4384.6	4296.2	4016.8	4443.1	4485.3	4563.3
Dsp	5833.8	5499.4	5652.8	5587.3	5816	5791.5	4741.7	4655.4	5141.4
Golgb1	5355.9	5193.9	5287.2	5226.5	5032.3	4947.9	4956.9	4684.8	4734.3
Gm3839	171.5	195.7	211.1	216.5	195.5	218.4	208.8	214.9	209.3
Itpr3	4939.5	4889.5	4146.9	4715.3	4622.3	4930.1	4976.5	5028.8	4516.4
Hsp90ab1	1185.4	1350.9	1325.3	1238.3	1395.8	1519.6	1408.2	1520.5	1736.5
Cct2	4188.4	3987.1	4330	3936.5	4260.2	3991.4	3829	4165.1	4766.2
Sf3b1	3768.6	3990	3970.3	4725	5071.2	4769.8	4686.9	4649.4	3747.3
Hadha	4182.2	4081.2	3901.4	4186.8	3731.9	3880.1	4077.5	4258.2	4207.1
